[modal] $ /usr/local/bin/python /workspace/track_b/b6_dexperts_gedi/train_dexperts.py --synthetic-csv /workspace/store/data/synthetic_clickbait.csv --source-csv /workspace/store/data/source_neutrals.csv --expert-out /workspace/store/models/dexperts_expert --antiexpert-out /workspace/store/models/dexperts_antiexpert --model-name meta-llama/Llama-3.2-1B
/usr/local/lib/python3.11/site-packages/transformers/utils/hub.py:128: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
[train] device=cuda model=meta-llama/Llama-3.2-1B
[train] /workspace/store/data/synthetic_clickbait.csv column='clickbait': 12599 headlines
[train] /workspace/store/data/source_neutrals.csv column='title': 12600 headlines
[train] === fine-tuning expert(clickbait) -> /workspace/store/models/dexperts_expert ===
[train] expert(clickbait) epoch 0 step 0 loss=4.6713
[train] expert(clickbait) epoch 0 step 20 loss=3.5595
[train] expert(clickbait) epoch 0 step 40 loss=3.5568
[train] expert(clickbait) epoch 0 step 60 loss=3.4875
[train] expert(clickbait) epoch 0 step 80 loss=3.3795
[train] expert(clickbait) epoch 0 step 100 loss=3.3584
[train] expert(clickbait) epoch 0 step 120 loss=3.1813
[train] expert(clickbait) epoch 0 step 140 loss=3.4781
[train] expert(clickbait) epoch 0 step 160 loss=3.5723
[train] expert(clickbait) epoch 0 step 180 loss=3.1768
[train] expert(clickbait) epoch 0 step 200 loss=3.1361
[train] expert(clickbait) epoch 0 step 220 loss=2.9404
[train] expert(clickbait) epoch 0 step 240 loss=3.0931
[train] expert(clickbait) epoch 0 step 260 loss=3.2850
[train] expert(clickbait) epoch 0 step 280 loss=3.1794
[train] expert(clickbait) epoch 0 step 300 loss=3.2591
[train] expert(clickbait) epoch 0 step 320 loss=3.0804
[train] expert(clickbait) epoch 0 step 340 loss=3.2824
[train] expert(clickbait) epoch 0 step 360 loss=2.7551
[train] expert(clickbait) epoch 0 step 380 loss=2.9182
[train] expert(clickbait) epoch 0 step 400 loss=3.1016
[train] expert(clickbait) epoch 0 step 420 loss=3.2675
[train] expert(clickbait) epoch 0 step 440 loss=3.0456
[train] expert(clickbait) epoch 0 step 460 loss=3.1484
[train] expert(clickbait) epoch 0 step 480 loss=3.1585
[train] expert(clickbait) epoch 0 step 500 loss=3.1727
[train] expert(clickbait) epoch 0 step 520 loss=2.8963
[train] expert(clickbait) epoch 0 step 540 loss=3.2992
[train] expert(clickbait) epoch 0 step 560 loss=2.8771
[train] expert(clickbait) epoch 0 step 580 loss=3.0087
[train] expert(clickbait) epoch 0 step 600 loss=2.9101
[train] expert(clickbait) epoch 0 step 620 loss=3.0195
[train] expert(clickbait) epoch 0 step 640 loss=3.2432
[train] expert(clickbait) epoch 0 step 660 loss=2.6522
[train] expert(clickbait) epoch 0 step 680 loss=2.9250
[train] expert(clickbait) epoch 0 step 700 loss=2.5919
[train] expert(clickbait) epoch 0 step 720 loss=3.2227
[train] expert(clickbait) epoch 0 step 740 loss=2.9494
[train] expert(clickbait) epoch 0 step 760 loss=3.0976
[train] expert(clickbait) epoch 0 step 780 loss=2.8607
[train] expert(clickbait) epoch 0 mean train loss=3.1213
[train] saved expert(clickbait) to /workspace/store/models/dexperts_expert
[train] === fine-tuning antiexpert(neutral) -> /workspace/store/models/dexperts_antiexpert ===
