[modal] $ /usr/local/bin/python /workspace/track_b/b6_dexperts_gedi/train_gedi.py --synthetic-csv /workspace/store/data/synthetic_clickbait.csv --source-csv /workspace/store/data/source_neutrals.csv --out-dir /workspace/store/models/gedi_conditional --model-name meta-llama/Llama-3.2-1B
[gedi-train] training strings: 37798 (clickbait=12599, neutral=25199)
/usr/local/lib/python3.11/site-packages/transformers/utils/hub.py:128: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
[gedi-train] device=cuda model=meta-llama/Llama-3.2-1B
[gedi-train] epoch 0 batch 25 loss=3.3152
[gedi-train] epoch 0 batch 50 loss=3.1674
[gedi-train] epoch 0 batch 75 loss=3.4371
[gedi-train] epoch 0 batch 100 loss=2.8662
[gedi-train] epoch 0 batch 125 loss=3.3592
[gedi-train] epoch 0 batch 150 loss=2.9158
[gedi-train] epoch 0 batch 175 loss=3.0877
[gedi-train] epoch 0 batch 200 loss=2.9117
[gedi-train] epoch 0 batch 225 loss=2.8715
[gedi-train] epoch 0 batch 250 loss=2.8281
[gedi-train] epoch 0 batch 275 loss=2.7013
[gedi-train] epoch 0 batch 300 loss=2.5396
[gedi-train] epoch 0 batch 325 loss=2.7375
[gedi-train] epoch 0 batch 350 loss=3.0863
[gedi-train] epoch 0 batch 375 loss=2.5513
[gedi-train] epoch 0 batch 400 loss=2.3352
[gedi-train] epoch 0 batch 425 loss=3.0680
[gedi-train] epoch 0 batch 450 loss=2.5008
[gedi-train] epoch 0 batch 475 loss=2.9477
[gedi-train] epoch 0 batch 500 loss=2.7102
[gedi-train] epoch 0 batch 525 loss=2.5551
[gedi-train] epoch 0 batch 550 loss=2.6250
[gedi-train] epoch 0 batch 575 loss=2.8080
[gedi-train] epoch 0 batch 600 loss=2.9531
[gedi-train] epoch 0 batch 625 loss=2.8899
[gedi-train] epoch 0 batch 650 loss=2.9296
[gedi-train] epoch 0 batch 675 loss=2.8456
[gedi-train] epoch 0 batch 700 loss=2.5414
[gedi-train] epoch 0 batch 725 loss=2.7598
[gedi-train] epoch 0 batch 750 loss=2.6741
[gedi-train] epoch 0 batch 775 loss=2.9050
[gedi-train] epoch 0 batch 800 loss=2.7589
[gedi-train] epoch 0 batch 825 loss=2.7798
[gedi-train] epoch 0 batch 850 loss=2.5475
[gedi-train] epoch 0 batch 875 loss=2.7064
[gedi-train] epoch 0 batch 900 loss=2.4152
[gedi-train] epoch 0 batch 925 loss=2.3540
[gedi-train] epoch 0 batch 950 loss=3.0205
[gedi-train] epoch 0 batch 975 loss=2.6258
[gedi-train] epoch 0 batch 1000 loss=2.2648
[gedi-train] epoch 0 batch 1025 loss=2.2433
[gedi-train] epoch 0 batch 1050 loss=2.3398
[gedi-train] epoch 0 batch 1075 loss=2.6833
[gedi-train] epoch 0 batch 1100 loss=2.7745
[gedi-train] epoch 0 batch 1125 loss=2.6417
[gedi-train] epoch 0 batch 1150 loss=2.5027
[gedi-train] epoch 0 batch 1175 loss=2.2677
[gedi-train] epoch 0 batch 1200 loss=2.2972
[gedi-train] epoch 0 batch 1225 loss=2.2226
[gedi-train] epoch 0 batch 1250 loss=2.4568
[gedi-train] epoch 0 batch 1275 loss=2.3953
[gedi-train] epoch 0 batch 1300 loss=2.3691
[gedi-train] epoch 0 batch 1325 loss=2.3756
[gedi-train] epoch 0 batch 1350 loss=2.6849
[gedi-train] epoch 0 batch 1375 loss=2.4042
[gedi-train] epoch 0 batch 1400 loss=2.3060
[gedi-train] epoch 0 batch 1425 loss=2.3482
[gedi-train] epoch 0 batch 1450 loss=2.5936
[gedi-train] epoch 0 batch 1475 loss=2.1082
[gedi-train] epoch 0 batch 1500 loss=2.4863
[gedi-train] epoch 0 batch 1525 loss=2.5305
[gedi-train] epoch 0 batch 1550 loss=2.3932
[gedi-train] epoch 0 batch 1575 loss=2.2095
[gedi-train] epoch 0 batch 1600 loss=2.1758
[gedi-train] epoch 0 batch 1625 loss=1.7105
[gedi-train] epoch 0 batch 1650 loss=1.9980
[gedi-train] epoch 0 batch 1675 loss=2.3609
[gedi-train] epoch 0 batch 1700 loss=1.9530
[gedi-train] epoch 0 batch 1725 loss=2.3426
[gedi-train] epoch 0 batch 1750 loss=2.2873
[gedi-train] epoch 0 batch 1775 loss=2.0627
[gedi-train] epoch 0 batch 1800 loss=2.0665
[gedi-train] epoch 0 batch 1825 loss=2.1043
[gedi-train] epoch 0 batch 1850 loss=2.4464
[gedi-train] epoch 0 batch 1875 loss=2.2082
[gedi-train] epoch 0 batch 1900 loss=2.0066
[gedi-train] epoch 0 batch 1925 loss=1.9710
[gedi-train] epoch 0 batch 1950 loss=1.8077
[gedi-train] epoch 0 batch 1975 loss=2.0212
[gedi-train] epoch 0 batch 2000 loss=2.5525
[gedi-train] epoch 0 batch 2025 loss=1.8821
[gedi-train] epoch 0 batch 2050 loss=2.3492
[gedi-train] epoch 0 batch 2075 loss=2.4853
[gedi-train] epoch 0 batch 2100 loss=2.0116
[gedi-train] epoch 0 batch 2125 loss=1.9554
[gedi-train] epoch 0 batch 2150 loss=2.1807
[gedi-train] epoch 0 batch 2175 loss=1.9960
[gedi-train] epoch 0 batch 2200 loss=2.0174
[gedi-train] epoch 0 batch 2225 loss=2.0763
[gedi-train] epoch 0 batch 2250 loss=1.7846
[gedi-train] epoch 0 batch 2275 loss=2.1167
[gedi-train] epoch 0 batch 2300 loss=1.9934
[gedi-train] epoch 0 batch 2325 loss=2.0286
[gedi-train] epoch 0 batch 2350 loss=1.7913
[gedi-train] epoch 0 mean train loss = 2.4619
[gedi-train] saved class-conditional LM -> /workspace/store/models/gedi_conditional

[modal] exit code: 0
